               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04751,            0.011984,           0.0034661,             0.80996,             0.82408,             0.84529,             0.39231,            0.044776,           0.0082474,           0.0033707,            0.006535,            0.006535,            0.006535
                  37,            0.045927,            0.012039,            0.004176,             0.79496,              0.8689,             0.86253,             0.35154,            0.047473,           0.0080996,           0.0031075,            0.006436,            0.006436,            0.006436
                  38,            0.046198,            0.011643,           0.0028472,             0.84669,             0.85307,             0.82858,             0.33259,            0.047197,           0.0082579,             0.00298,            0.006337,            0.006337,            0.006337
                  39,            0.045573,            0.011599,           0.0033114,             0.92992,             0.92308,             0.94194,             0.43416,            0.043827,           0.0083408,           0.0029465,            0.006238,            0.006238,            0.006238
                  40,            0.046103,            0.011611,           0.0033811,             0.87906,             0.92186,             0.91635,             0.42747,            0.044893,           0.0080032,           0.0028435,            0.006139,            0.006139,            0.006139
                  41,            0.045479,            0.011716,           0.0031657,             0.87979,             0.89487,             0.87445,             0.37053,            0.042408,           0.0080433,           0.0029732,             0.00604,             0.00604,             0.00604
                  42,            0.045961,            0.011172,           0.0031122,             0.97118,             0.80767,             0.88211,             0.41188,            0.041858,           0.0083513,           0.0027657,            0.005941,            0.005941,            0.005941
                  43,            0.044051,            0.010725,           0.0030377,             0.93374,             0.93512,              0.9119,             0.42636,            0.038711,           0.0078688,           0.0027245,            0.005842,            0.005842,            0.005842
                  44,             0.04144,            0.010851,            0.003064,              0.9134,             0.92967,             0.94189,             0.48761,            0.039318,           0.0078497,           0.0027744,            0.005743,            0.005743,            0.005743
                  45,             0.04217,            0.012356,           0.0028268,             0.89721,             0.94231,             0.94398,             0.46805,            0.040168,           0.0078526,           0.0028694,            0.005644,            0.005644,            0.005644
                  46,            0.042002,            0.010572,           0.0028107,              0.8423,             0.94231,             0.92391,             0.41912,            0.041858,           0.0078011,           0.0028053,            0.005545,            0.005545,            0.005545
                  47,            0.039741,            0.010845,           0.0027046,             0.90265,             0.89459,             0.90624,             0.41148,            0.044436,           0.0077705,           0.0027466,            0.005446,            0.005446,            0.005446
